timestamp_ns,timestamp_sec,leg_front_r_2,leg_front_l_1,leg_front_l_2,leg_front_r_1,leg_front_l_3,leg_front_r_3,leg_back_r_1,leg_back_r_3,leg_back_l_1,leg_back_r_2,leg_back_l_2,leg_back_l_3
1757027496885649140,1757027496.8856492,-0.05111305236816405,-0.5248692321777344,0.06942455291748045,0.5420353698730469,0.40429023742675785,-0.46799663543701175,0.6656334686279297,-0.9059305572509766,-0.5984938430786133,-0.09612743377685545,0.006098670959472641,0.8387909317016602
1757027496920044931,1757027496.9200451,-0.05111305236816405,-0.5241062927246094,0.06904308319091795,0.5382206726074219,0.38788608551025394,-0.44510845184326175,0.6717369842529297,-0.9024963760375977,-0.6004011917114258,-0.09612743377685545,0.006098670959472641,0.8342132949829102
1757027496955137338,1757027496.9551373,-0.05111305236816405,-0.5244877624511719,0.06904308319091795,0.5378392028808594,0.37529758453369144,-0.42717937469482425,0.6736443328857422,-0.8906708145141602,-0.6061232376098633,-0.09650890350341795,0.006098670959472641,0.8342132949829102
1757027496989967410,1757027496.9899673,-0.05149452209472655,-0.5248692321777344,0.06904308319091795,0.5370762634277344,0.36270908355712894,-0.41344551086425785,0.6759331512451172,-0.8883819961547852,-0.6133711624145508,-0.09612743377685545,0.006098670959472641,0.8342132949829102
1757027497024580165,1757027497.02458,-0.05111305236816405,-0.5252507019042969,0.06942455291748045,0.5321171569824219,0.35660556793212894,-0.39627937316894535,0.6774590301513672,-0.8822784805297852,-0.6152785110473633,-0.09498302459716795,0.006098670959472641,0.8315430068969727
1757027497059597533,1757027497.0595975,-0.05149452209472655,-0.5248692321777344,0.06904308319091795,0.5313542175292969,0.35012058258056644,-0.38864997863769535,0.6778404998779297,-0.8765564346313477,-0.6137526321411133,-0.09574596405029295,0.006098670959472641,0.8223877334594727
1757027497094523770,1757027497.0945237,-0.05149452209472655,-0.5244877624511719,0.06942455291748045,0.5248692321777344,0.33714965820312504,-0.36805061340332035,0.6778404998779297,-0.8677826309204102,-0.6137526321411133,-0.09574596405029295,0.006098670959472641,0.8136129760742188
1757027497129245377,1757027497.1292455,-0.05187599182128905,-0.5237248229980469,0.06942455291748045,0.5233433532714844,0.31960205078125004,-0.34668735504150394,0.6778404998779297,-0.8551941299438477,-0.6137526321411133,-0.09574596405029295,0.006098670959472641,0.8025503540039063
1757027497163785205,1757027497.1637852,-0.05187599182128905,-0.5229618835449219,0.06980602264404295,0.5210545349121094,0.29862121582031254,-0.32189182281494144,0.6778404998779297,-0.8391714477539063,-0.6137526321411133,-0.09536449432373045,0.006098670959472641,0.7903433227539063
1757027497198520423,1757027497.1985204,-0.05302040100097655,-0.5214360046386719,0.06942455291748045,0.5206730651855469,0.27344326019287113,-0.30167392730712894,0.6786034393310547,-0.8288717651367188,-0.6145155715942383,-0.09536449432373045,0.006098670959472641,0.7762289428710938
1757027497235621026,1757027497.2356212,-0.05340187072753905,-0.5206730651855469,0.06980602264404295,0.5195286560058594,0.24674037933349613,-0.27611450195312504,0.6808922576904297,-0.8162832641601563,-0.6141341018676758,-0.09574596405029295,0.006098670959472641,0.7594442749023438
1757027497272404109,1757027497.2724042,-0.05492774963378905,-0.5199101257324219,0.06942455291748045,0.5172398376464844,0.21889308929443363,-0.25093750000000004,0.6820366668701172,-0.7991171264648438,-0.6141341018676758,-0.09574596405029295,0.006098670959472641,0.7457104110717774
1757027497307470847,1757027497.3074708,-0.05530921936035155,-0.5172398376464844,0.06980602264404295,0.5153324890136719,0.19371513366699222,-0.22423366546630863,0.6824181365966797,-0.7865286254882813,-0.6137526321411133,-0.09574596405029295,0.005717201232910141,0.7300701522827149
1757027497343480462,1757027497.3434806,-0.05836097717285155,-0.5157139587402344,0.06980602264404295,0.5134251403808594,0.16243461608886722,-0.19676784515380863,0.6847069549560547,-0.7731762313842774,-0.6129896926879883,-0.09574596405029295,0.005335731506347641,0.7098522567749024
1757027497378457126,1757027497.378457,-0.05950538635253905,-0.5157139587402344,0.07018749237060545,0.5118992614746094,0.13382343292236332,-0.17082695007324222,0.6854698944091797,-0.7563915634155274,-0.6137526321411133,-0.09574596405029295,0.004954261779785141,0.6999340438842774
1757027497414907392,1757027497.4149075,-0.06026832580566405,-0.5138066101074219,0.07171337127685545,0.5057957458496094,0.10940937042236332,-0.13725761413574222,0.6854698944091797,-0.7399883651733399,-0.6129896926879883,-0.09574596405029295,0.004191322326660141,0.6789522552490235
1757027497451959883,1757027497.4519598,-0.06255714416503905,-0.5103733825683594,0.07209484100341795,0.5015995788574219,0.08003524780273441,-0.11208061218261722,0.6835625457763672,-0.7190075302124024,-0.6110823440551758,-0.09574596405029295,0.0034283828735351407,0.658734359741211
1757027497486702472,1757027497.4867027,-0.06255714416503905,-0.5099919128417969,0.07514659881591795,0.5000736999511719,0.05485824584960941,-0.08537677764892582,0.6824181365966797,-0.7018404388427735,-0.6118452835083008,-0.09536449432373045,0.0034283828735351407,0.646527328491211
1757027497521252651,1757027497.5212526,-0.06408302307128905,-0.5084660339355469,0.07629100799560545,0.4958775329589844,0.02968124389648441,-0.05981830596923832,0.6789849090576172,-0.685437240600586,-0.6045973587036133,-0.09536449432373045,0.0030469131469726407,0.6247826004028321
1757027497557924585,1757027497.5579245,-0.06599037170410155,-0.5038883972167969,0.07667247772216795,0.4947331237792969,0.0025959396362305043,-0.04036239624023441,0.6744072723388672,-0.6659822845458985,-0.6004011917114258,-0.09498302459716795,0.0034283828735351407,0.6072349929809571
